id,name,description,price,shop_id,shop_name,image_url
1,Synthetic Engine Oil 5W-40,High performance synthetic oil for gasoline engines. Improves fuel economy.,3500.0,1,AutoParts Zone,https://images.unsplash.com/photo-1599256872237-5dcc0fbe9668?w=500
2,Oil Filter,Premium oil filter removing 99.9% of contaminants.,450.0,1,AutoParts Zone,https://images.unsplash.com/photo-1626127027588-444b0f92b3a1?w=500
3,Ceramic Brake Pads (Front),Low noise and low dust ceramic brake pads for sedans.,2800.0,1,AutoParts Zone,https://images.unsplash.com/photo-1562916124-672e850b7b05?w=500
4,Brake Rotors (Pair),High carbon steel brake rotors for better heat dissipation.,4200.0,1,AutoParts Zone,https://images.unsplash.com/photo-1486262715619-01b80258e0a2?w=500
5,Car Battery 12V 60Ah,Maintenance-free long life battery with 3 year warranty.,5500.0,2,Mechanic Shop Pro,https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=500
6,Spark Plug Set (4 pcs),Iridium spark plugs for efficient combustion and longer life.,1200.0,1,AutoParts Zone,https://images.unsplash.com/photo-1628557044797-f21a177c37ec?w=500
7,Air Filter,High flow air filter to improve engine performance.,350.0,1,AutoParts Zone,https://images.unsplash.com/photo-1486262715619-01b80258e0a2?w=500
8,Cabin Air Filter,Activated carbon filter to keep car interior air fresh.,600.0,1,AutoParts Zone,https://images.unsplash.com/photo-1486262715619-01b80258e0a2?w=500
9,Wiper Blades (Pair),All-weather silicone wiper blades 24 inch + 18 inch.,800.0,1,AutoParts Zone,https://images.unsplash.com/photo-1553531384-cc64ac80f931?w=500
10,Headlight Bulb LED H4,Bright white LED headlight bulbs 6000K.,1500.0,1,AutoParts Zone,https://images.unsplash.com/photo-1554744512-d6c603f27c54?w=500
11,Basic Car Wash,Exterior foam wash and tyre dressing for sedans and hatchbacks.,499.0,3,Sparkle Car Wash,https://images.unsplash.com/photo-1601362840469-51e4d8d58785?w=500
12,Premium Interior Detailing,"Deep cleaning of seats, carpets, dashboard and roof.",1499.0,3,Sparkle Car Wash,https://images.unsplash.com/photo-1507138451611-31ff74cfc470?w=500
13,Full Car Spa Package,"Exterior wash, interior detailing, and wax polishing.",2499.0,3,Sparkle Car Wash,https://images.unsplash.com/photo-1520340356584-7e3f43e69007?w=500
14,Ceramic Coating (1 Year),Protective ceramic coating for paint gloss and hydrophobicity.,9999.0,4,Detailing Experts,https://images.unsplash.com/photo-1619642751034-765451fb2d66?w=500
15,Tyre Polish & Rim Cleaning,Special treatment for deep black tyres and shiny rims.,299.0,3,Sparkle Car Wash,https://images.unsplash.com/photo-1601362840469-51e4d8d58785?w=500
16,Windshield Water Repellent,Treatment to improve visibility during rain.,399.0,4,Detailing Experts,https://images.unsplash.com/photo-1553531384-cc64ac80f931?w=500
17,A/C Vent Cleaning,Steam cleaning of air conditioning vents to remove bacteria.,699.0,3,Sparkle Car Wash,https://images.unsplash.com/photo-1554744512-d6c603f27c54?w=500
18,Engine Bay Cleaning,Professional degreasing and dressing of engine bay.,899.0,2,Mechanic Shop Pro,https://images.unsplash.com/photo-1486262715619-01b80258e0a2?w=500
19,Coolant Top-up (1L),Premixed coolant refill to prevent overheating.,300.0,2,Mechanic Shop Pro,https://images.unsplash.com/photo-1599256872237-5dcc0fbe9668?w=500
20,Brake Fluid (500ml),DOT 4 brake fluid for reliable braking performance.,250.0,2,Mechanic Shop Pro,https://images.unsplash.com/photo-1562916124-672e850b7b05?w=500
